"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Markdown", "TypeScript JSX", "HTML", "PostCSS", "YAML", "Python", "pip requirements", "PowerShell", "MS SQL", "comment", "blank", "total"
"d:\Git.Project\local-aI-dubber-desktop\.claude\commands\speckit.analyze.md", "Markdown", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 185
"d:\Git.Project\local-aI-dubber-desktop\.claude\commands\speckit.checklist.md", "Markdown", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 295
"d:\Git.Project\local-aI-dubber-desktop\.claude\commands\speckit.clarify.md", "Markdown", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 182
"d:\Git.Project\local-aI-dubber-desktop\.claude\commands\speckit.constitution.md", "Markdown", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 85
"d:\Git.Project\local-aI-dubber-desktop\.claude\commands\speckit.implement.md", "Markdown", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 136
"d:\Git.Project\local-aI-dubber-desktop\.claude\commands\speckit.plan.md", "Markdown", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 90
"d:\Git.Project\local-aI-dubber-desktop\.claude\commands\speckit.specify.md", "Markdown", 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 259
"d:\Git.Project\local-aI-dubber-desktop\.claude\commands\speckit.tasks.md", "Markdown", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 138
"d:\Git.Project\local-aI-dubber-desktop\.claude\commands\speckit.taskstoissues.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"d:\Git.Project\local-aI-dubber-desktop\.claude\settings.json", "JSON with Comments", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Git.Project\local-aI-dubber-desktop\.claude\settings.local.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Git.Project\local-aI-dubber-desktop\.specify\memory\constitution.md", "Markdown", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 14, 42, 130
"d:\Git.Project\local-aI-dubber-desktop\.specify\scripts\powershell\check-prerequisites.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 31, 26, 149
"d:\Git.Project\local-aI-dubber-desktop\.specify\scripts\powershell\common.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 10, 20, 138
"d:\Git.Project\local-aI-dubber-desktop\.specify\scripts\powershell\create-new-feature.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 39, 40, 284
"d:\Git.Project\local-aI-dubber-desktop\.specify\scripts\powershell\setup-plan.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 10, 10, 62
"d:\Git.Project\local-aI-dubber-desktop\.specify\scripts\powershell\update-agent-context.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 373, 0, 36, 43, 452
"d:\Git.Project\local-aI-dubber-desktop\.specify\templates\agent-file-template.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 29
"d:\Git.Project\local-aI-dubber-desktop\.specify\templates\checklist-template.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 41
"d:\Git.Project\local-aI-dubber-desktop\.specify\templates\constitution-template.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 51
"d:\Git.Project\local-aI-dubber-desktop\.specify\templates\plan-template.md", "Markdown", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 116
"d:\Git.Project\local-aI-dubber-desktop\.specify\templates\spec-template.md", "Markdown", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 24, 41, 116
"d:\Git.Project\local-aI-dubber-desktop\.specify\templates\tasks-template.md", "Markdown", 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 18, 81, 252
"d:\Git.Project\local-aI-dubber-desktop\AI数字人口播桌面客户端（Windows）PRD（产品需求文档）.md", "Markdown", 0, 0, 0, 321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 352, 673
"d:\Git.Project\local-aI-dubber-desktop\CLAUDE.md", "Markdown", 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 353
"d:\Git.Project\local-aI-dubber-desktop\electron-app\electron-builder.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 7, 48
"d:\Git.Project\local-aI-dubber-desktop\electron-app\package.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Git.Project\local-aI-dubber-desktop\electron-app\src\main\index.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 102
"d:\Git.Project\local-aI-dubber-desktop\electron-app\src\main\ipc-bridge.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 118
"d:\Git.Project\local-aI-dubber-desktop\electron-app\src\main\python-manager.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 141
"d:\Git.Project\local-aI-dubber-desktop\electron-app\src\main\updater.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 65
"d:\Git.Project\local-aI-dubber-desktop\electron-app\src\preload\index.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"d:\Git.Project\local-aI-dubber-desktop\electron-app\tsconfig.json", "JSON with Comments", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Git.Project\local-aI-dubber-desktop\python-engine\build_license.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 16, 10, 55
"d:\Git.Project\local-aI-dubber-desktop\python-engine\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 6, 6, 23
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\api\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\api\routes\digital_humans.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 6, 23, 99
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\api\routes\license.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 8, 23, 101
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\api\routes\pipeline.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 278, 0, 0, 0, 21, 72, 371
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\api\routes\system.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 3, 23, 91
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\api\routes\voices.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 4, 21, 81
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\api\routes\works.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 16, 74
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\api\server.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 9, 21, 98
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\core\gpu_detector.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 6, 11, 71
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\core\lipsync_engine.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 19, 12, 61
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\core\model_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 27, 32, 174
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\core\tts_engine.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 19, 14, 97
