"filename", "language", "Python", "TypeScript", "JSON with Comments", "Markdown", "YAML", "pip requirements", "JSON", "Docker", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\.github\workflows\stale-issues.yml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 20, 77
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\FAQ.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\README.md", "Markdown", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 70, 265
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\bin\average_model.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 94
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\bin\export_jit.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 100
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\bin\export_onnx.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 115
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\bin\train.py", "Python", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 24, 196
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\cli\cosyvoice.py", "Python", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 239
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\cli\frontend.py", "Python", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 17, 225
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\cli\model.py", "Python", 383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 24, 451
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\dataset\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\dataset\dataset.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 22, 156
